100000.0 740.101010502744 976.0249374255308 1303.7754940069517 1518.3866470230535
83342.85 675.3197629016199 888.3310227756691 1185.873704219071 1380.7441917217177
40466.18 471.88440860678617 612.8307211960773 815.262079406698 948.7256401538133
32185.65 422.2635641135675 545.9117888994023 725.1233847622792 843.5517713064669
23833.79 364.808248053 468.68024662522794 621.3160226406334 722.7774670374681
11104.33 253.29670552149938 319.8812766268187 421.68922277814255 490.4433931949355
8275.94 220.75180666038025 276.7540083411736 363.6822865126014 422.6563285822165
6408.89 195.8411739243829 243.95478963451416 319.7307891761411 371.3919462854966
4159.25 160.34561418395637 197.40273229540537 257.4070000536338 299.0882230063315
2921.35 136.3183190138392 166.10924369938186 215.44331087692098 250.08055505438122
2166.41 119.06696381261236 143.79307501403903 185.60129830972653 215.27043231820065
1668.71 106.14047259121195 127.18487839375892 163.52745128470642 189.79533436944973
1082.56 87.53268055768915 103.46400484008672 131.9607617065629 153.1452673990276
759.41 74.96126881761414 87.58439693098721 110.87976412274922 128.65961513326675
493.81 61.92409702168314 71.25434250141159 89.17168057787916 103.26890629923078
