500 64.56625169503623 74.61090464079352 94.01556980936401 109.35643023695685
700 75.59520088717433 88.29465090865807 111.59933502635101 129.1179755267451
1000 88.45693208932732 104.71594690764861 134.25410131302817 156.76559640106575
1400 101.49398850072204 121.08626761864016 155.2011843148557 180.3860063962735
2000 119.57598844875304 144.33890720286837 186.45860050128272 217.0115374421119
3100 145.56902239541984 178.32419392421892 232.93837719202878 272.19109988934525
5000 179.56284909266623 222.6662740185667 292.4056722098324 341.297827361926
7000 210.5424348466058 263.3764508717549 347.13458318987875 406.2088261438112
10000 246.38715587001022 310.49239241656994 410.02525488260005 479.5805150752502
14000 291.6409205084648 371.737311675029 495.10629145724613 579.9948795740579
20000 340.6232888353939 436.5054128022434 579.519457165325 676.0330634632152
30000 420.75681889324864 545.6890132926958 731.0720943670073 855.2476726515858
50000 529.6320868312754 690.8760737059374 921.6033474325653 1077.9522615434303
70000 623.950938782276 818.2756830858074 1092.6063591465152 1277.0911562508068
100000 738.6799858080938 973.8600391693789 1301.4852044419226 1518.100924729983
